,Header,Description,Time,Label
1323,"A Century After Triangle, Unions Face Uncertain Future","March 25, 2011 marks the 100-year anniversary of the Triangle Shirtwaist Factory fire, a disaster widely credited with strengthening the still nascent labor union movement in the United States. Public approval of unions, which peaked in during the Depression era when many worker protections were put into law, has had its ups and downs but has hit new lows in recent years.",2011-03-23T00:00:00+00:00,report
1324,Resources on the Future of the Global Muslim Population,Explore the Future of the Global Muslim Population report and related resources.,2011-02-28T00:00:00+00:00,report
1325,State Population Estimates and Census 2010 Counts: Did They Match?,"How well did the Census Bureau’s population estimates for the first decade of the 21st century match the actual counts from the 2010 Census? The short answer: Pretty well for the nation, and for all but a handful of states.",2011-01-12T00:00:00+00:00,report
1326,New Pew Forum Report  Projects Growth of Global Muslim Population to 2030,"For Immediate ReleaseJanuary 25, 2011 Washington, D.C. — In a 10 a.m. EST conference call forjournalists on Thursday, Jan. 27, 2011,the Pew Research Center’s Forum on Religion & Public Life will discuss thefindings contained in its new report, TheFuture of the Global Muslim Population.  This comprehensive demographic study seeks toprovide up-to-date estimates of the number […]",2011-01-25T00:00:00+00:00,report
1327,Census 2010: Apportionment Basics,"The first numbers from the 2010 Census, to be released tomorrow, are the state population totals that have been the basis of the proportional division of seats in the House of Representatives since the nation’s early days",2010-12-20T00:00:00+00:00,report
1328,The 2010 U.S. Population Is…,The Census Bureau today released five sets of population estimates for the nation as of April 1–but not from the soon-to-be-released 2010 Census count.,2010-12-06T00:00:00+00:00,report
1329,Census 2010: Apportionment Basics,"The first numbers from the 2010 Census are the state population totals, the basis of the proportional division of seats in the House of Representatives since the nation’s early days. The number of House seats has been fixed at 435 since 1913, but there have been numerous tweaks in the methodology used to divide them up — and debate continues today.",2010-12-20T00:00:00+00:00,report
1330,The 2010 U.S. Population Is …,A new Census release of five estimates of the national population illustrates the intricacies and challenges of evaluating the soon-to-be-released 2010 Census count.,2010-12-06T00:00:00+00:00,report
1331,State Population Estimates and Census 2010 Counts: Did They Match?,How well did the Census Bureau’s population estimates for the first decade of the 21st century match the actual counts from the 2010 Census?,2011-01-12T00:00:00+00:00,report
1332,Global Trouble Spots Top Public’s News Interests,"Overview The public expresses far more interest in news from global hot spots, including Iraq, Afghanistan and North Korea, than in news from many less troubled countries. And while most Americans express interest in what happens in Canada and Great Britain, far fewer are interested in developments from other traditional U.S. allies – notably France. […]",2011-02-24T00:00:00+00:00,report
1333,The 2010 Congressional Reapportionment and Latinos,Hispanic voters are nearly three times more prevalent in states that gained congressional seats and Electoral College votes in the 2010 reapportionment than they are in states that lost seats.,2011-01-05T00:00:00+00:00,report
1334,Hispanics Split on Impact of Unauthorized Immigration,Hispanics are divided about the impact of illegal immigration on Hispanics already living in the U.S.,2010-11-02T00:00:00+00:00,short reads
1335,"Illegal Immigration Backlash Worries, Divides Latinos",The national political backlash against illegal immigration has created new divisions among Latinos and heightened their concerns about discrimination against members of their ethnic group-including those who were born in the United States or who immigrated legally.,2010-10-28T00:00:00+00:00,report
1336,After the Great Recession: Foreign Born Gain Jobs; Native Born Lose Jobs,"In the year following the end of the Great Recession in June 2009, foreign-born workers gained 656,000 jobs while native-born workers lost 1.2 million. As a result, the unemployment rate fell for immigrants while it rose for the native born.",2010-10-29T00:00:00+00:00,report
1337,"Latinos and Digital Technology, 2010","Latinos are less likely than whites to access the internet, have a home broadband connection or own a cell phone, according to survey findings from the Pew Hispanic Center.",2011-02-09T00:00:00+00:00,report
1338,Employment: Foreign Born vs. Native Born,"In the year following the official end of the recent recession, the unemployment rate for immigrant workers fell 0.6 percentage points, while for native-born workers it rose 0.5 percentage points.",2010-11-02T00:00:00+00:00,short reads
1339,"Obama’s Job Ratings, Personal Image Unchanged by Recent Washington Events",Neither the trouncing of the Democratic Party in the midterm elections nor the surprising legislative accomplishments of the “lame duck” Congress has had a measurable effect on opinions of Barack Obama.,2011-01-13T00:00:00+00:00,report
1340,Latinos Perceptions of Discrimination,Six-in-ten Latinos say discrimination against Hispanics is a “major problem.”,2010-11-02T00:00:00+00:00,short reads
1341,National Latino Leader? The Job is Open,"When asked in an open-ended question on a nationwide survey of Latinos to name the person they consider “the most important Latino leader in the country today,” nearly two-thirds (64%) of Hispanics said they did not know.",2010-11-15T00:00:00+00:00,report
1342,Economy Again Tops the News,"The Pew Research Center’s Project for Excellence in Journalism did not publishing a full Weekly News Index report for November 22-28, 2010. PEJ is, however, making the data available.",2010-11-29T00:00:00+00:00,report
1343,The 2010 Congressional Reapportionment and Latinos,Hispanic voters are nearly three times more prevalent in states that gained congressional seats and Electoral College votes in the 2010 reapportionment than they are in states that lost seats.,2011-01-05T00:00:00+00:00,report
1344,"GAO: 2010 Census Operations Successful, But Fundamental Design Needs Reform","A few days before the Census Bureau is scheduled to release the first population totals from the 2010 Census, the Government Accountability Office published three reports evaluating key operations of the decennial count.",2010-12-15T00:00:00+00:00,report
1345,Fewer Unauthorized Immigrants,The number of unauthorized immigrants currently living in the U.S. fell by 8% between March 2007 and March 2009.,2010-09-13T00:00:00+00:00,short reads
1346,Latinos and the 2010 Elections: Strong Support for Democrats; Weak Voter Motivation,"In a year when support for Democratic candidates has eroded, the party’s standing among one key voting group—Latinos—appears as strong as ever.",2010-10-05T00:00:00+00:00,report
1347,Section 1: Views of Obama,"The past year has seen a series of momentous political events – rising unemployment, passage of controversial health care legislation, a sweeping defeat for Democrats in the midterm elections and a historically active lame-duck session of Congress. But the public’s impression of Barack Obama has remained remarkably steady. At the start of 2010, 49% of […]",2011-01-13T00:00:00+00:00,report
1348,The Party of Nonvoters,"There will almost certainly be far more nonvoters than voters this year. Nonvoters are younger, less educated and more financially stressed than likely voters. They are also significantly less Republican and more likely to approve of Obama’s job performance.",2010-10-29T00:00:00+00:00,report
1349,"Few Say Religion Shapes Immigration, Environment Views","Overview Many Americans continue to say their religious beliefs have been highly influential in shaping their views about social issues, including abortion and same-sex marriage. But far fewer cite religion as a top influence on their opinions about several other social and political issues, including how the government should deal with immigration, the environment and […]",2010-09-17T00:00:00+00:00,report
1350,"Few Say Religion Shapes Immigration, Environment Views","Many Americans continue to say their religious beliefs have been highly influential in shaping their views about social issues, including abortion and same-sex marriage. But far fewer cite religion as a top influence on their opinions about several other social and political issues, including how the government should deal with immigration, the environment and poverty. […]",2010-09-17T00:00:00+00:00,report
1351,Unauthorized Immigrants Entering the U.S. Down,"An annual average of 300,000 unauthorized immigrants entered the U.S. between 2007 and 2009, down sharply from 2000 to 2005 when about 850,000 entered the U.S. each year.",2010-09-13T00:00:00+00:00,short reads
1352,Working Wives and Unemployed Husbands,"Among married couples with their own children under 18 at home, the share with a working wife and unemployed husband went up in 41 states in 2009, compared with the year before, according to a new Census Bureau analysis of data from the American Community Survey.",2010-10-13T00:00:00+00:00,report
1353,U.S. Unauthorized Immigration Flows Are Down Sharply Since Mid-Decade,The annual inflow of unauthorized immigrants to the U.S. was nearly two-thirds smaller in the March 2007 to March 2009 period than it had been from March 2000 to March 2005.,2010-09-01T00:00:00+00:00,report
1354,GOP Likely to Recapture Control of House,"Overview Pew Research Center’s final 2010 pre-election survey finds the Republican Party continuing to hold a solid lead in preferences for Tuesday’s midterm election. The poll, conducted Oct. 27-30 among 2,373 registered voters, including 1,809 voters considered the most likely to vote, shows that 48% of likely voters say they will vote for the Republican […]",2010-10-31T00:00:00+00:00,report
1355,GOP Likely to Capture Control of House,Republicans continue to hold a solid lead in preferences for Tuesday’s midterm elections among likely voters — enough so as to suggest they will win control of the House. The GOP owes its lead to strong backing from independents and record-levels of engagement among its partisans.,2010-10-31T00:00:00+00:00,report
1356,"Top Stories of 2010: Haiti Earthquake, Gulf Oil Spill","Summary of Findings Two major disasters – the earthquake in Haiti and the oil leak in the Gulf of Mexico – captured the public’s attention more than any other major stories in 2010, but Americans also kept a consistent eye on the nation’s struggling economy. In mid-January, 60% of the public said they were following […]",2010-12-21T00:00:00+00:00,report
1357,Many Say Ending Tax Cuts for Wealthy Would Hurt Economy,"Overview Nearly four-in-ten Americans (39%) say that allowing Bush-era tax cuts for the wealthy to expire at the end of this year would hurt the economy, while about a quarter each say this would help the economy (26%) or have no effect (26%). The latest Pew Research/National Journal Congressional Connection poll, sponsored by SHRM, conducted […]",2010-09-20T00:00:00+00:00,report
1358,Little Compromise on Compromising,"The latest Congressional Connection poll finds most in the public are in no mood for political compromising. Also, Americans split evenly on which political party could best handle the economy while four-in-ten say eliminating tax cuts for the wealthy would hurt the economy.",2010-09-20T00:00:00+00:00,report
1359,New Unauthorized Immigration Estimates for the U.S.,The average annual inflow of unauthorized immigrants to the United States was nearly two-thirds smaller in the March 2007 to March 2009 period than it had been from March 2000 to March 2005.,2010-09-01T00:00:00+00:00,report
1360,New Unauthorized Immigration Estimates for the U.S.,The average annual inflow of unauthorized immigrants to the United States was nearly two-thirds smaller in the March 2007 to March 2009 period than it had been from March 2000 to March 2005.,2010-09-01T00:00:00+00:00,report
1361,Gay Marriage Opinion and Religion,More than a third of Americans cite religion as the top influence on their view of gay marriage.,2010-09-29T00:00:00+00:00,short reads
1362,Religion in the News: Islam Was No. 1 Topic in 2010,"Events and controversies related to Islam dominated U.S. press coverage of religion in 2010, bumping the Catholic Church from the top spot, according to a new study by the Pew Research Center’s Project for Excellence in Journalism and the Pew Forum on Religion & Public Life.",2011-02-24T00:00:00+00:00,report
1363,Unauthorized Immigrants and Their U.S.-Born Children,"An estimated 340,000 of the 4.3 million babies born in the United States in 2008 were the offspring of unauthorized immigrants, according to a new analysis of Census Bureau data.",2010-08-11T00:00:00+00:00,report
1364,Latinos in the 2010 Elections: California,"There are 5.4 million eligible Hispanic voters in California, 24% of all eligible voters in the state.",2010-10-15T00:00:00+00:00,report
1365,Latinos in the 2010 Elections: Colorado,"There are 434,000 eligible Hispanic voters in Colorado, 13% of all eligible voters in the state.",2010-10-15T00:00:00+00:00,report
1366,Latinos in the 2010 Elections: Connecticut,"There are 202,000 eligible Hispanic voters in Connecticut, 8% of all eligible voters in the state.",2010-10-15T00:00:00+00:00,report
1367,Latinos in the 2010 Elections: the District of Columbia,"There are 16,000 eligible Hispanic voters in the District of Columbia, 4% of all eligible voters in the state.",2010-10-15T00:00:00+00:00,report
1368,Latinos in the 2010 Elections: Florida,"There are 1.8 million eligible Hispanic voters in Florida, 15% of all eligible voters in the state.",2010-10-15T00:00:00+00:00,report
1369,Latinos in the 2010 Elections: Georgia,"There are 178,000 eligible Hispanic voters in Georgia, 3% of all eligible voters in the state.",2010-10-15T00:00:00+00:00,report
1370,Latinos in the 2010 Elections: Hawaii,"There are 62,000 eligible Hispanic voters in Hawaii, 7% of all eligible voters in the state.",2010-10-15T00:00:00+00:00,report
1371,Latinos in the 2010 Elections: Massachusetts,"There are 256,000 eligible Hispanic voters in Massachusetts, 6% of all eligible voters in the state.",2010-10-15T00:00:00+00:00,report
1372,Latinos in the 2010 Elections: Nevada,"There are 224,000 eligible Hispanic voters in Nevada, 14% of all eligible voters in the state.",2010-10-15T00:00:00+00:00,report
1373,Latinos in the 2010 Elections: Oregon,"There are 125,000 eligible Hispanic voters in Oregon, 5% of all eligible voters in the state.",2010-10-15T00:00:00+00:00,report
1374,Latinos in the 2010 Elections: Utah,"There are 104,000 eligible Hispanic voters in Utah, 6% of all eligible voters in the state.",2010-10-15T00:00:00+00:00,report
1375,U.S.-Born Children of Unauthorized Immigrants,"Unauthorized immigrants comprise about 4% of the U.S. adult population, but their children comprise 8% of newborns.",2010-08-12T00:00:00+00:00,short reads
1376,Latinos in the 2010 Elections: Arizona,"There are 766,000 eligible Hispanic voters in Arizona, 18% of all eligible voters in the state.",2010-10-15T00:00:00+00:00,report
1377,Latinos in the 2010 Elections: Illinois,"There are 749,000 eligible Hispanic voters in Illinois, 8% of all eligible voters in the state.",2010-10-15T00:00:00+00:00,report
1378,Latinos in the 2010 Elections: Indiana,"There are 116,000 eligible Hispanic voters in Indiana, 2% of all eligible voters in the state.",2010-10-15T00:00:00+00:00,report
1379,Latinos in the 2010 Elections: Maryland,"There are 113,000 eligible Hispanic voters in Maryland, 3% of all eligible voters in the state.",2010-10-15T00:00:00+00:00,report
1380,Latinos in the 2010 Elections: New Jersey,"There are 645,000 eligible Hispanic voters in New Jersey, 11% of all eligible voters in the state.",2010-10-15T00:00:00+00:00,report
1381,Latinos in the 2010 Elections: New Mexico,"There are 525,000 eligible Hispanic voters in New Mexico, 38% of all eligible voters in the state.",2010-10-15T00:00:00+00:00,report
1382,Latinos in the 2010 Elections: New York,"There are 1.6 million eligible Hispanic voters in New York, 12% of all eligible voters in the state.",2010-10-15T00:00:00+00:00,report
1383,Latinos in the 2010 Elections: North Carolina,"There are 138,000 eligible Hispanic voters in North Carolina, 2% of all eligible voters in the state.",2010-10-15T00:00:00+00:00,report
1384,Latinos in the 2010 Elections: Ohio,"There are 140,000 eligible Hispanic voters in Ohio, 2% of all eligible voters in the state.",2010-10-15T00:00:00+00:00,report
1385,Latinos in the 2010 Elections: Pennsylvania,"There are 289,000 eligible Hispanic voters in Pennsylvania, 3% of all eligible voters in the state.",2010-10-15T00:00:00+00:00,report
1386,Latinos in the 2010 Elections: Rhode Island,"There are 46,000 eligible Hispanic voters in Rhode Island, 6% of all eligible voters in the state.",2010-10-15T00:00:00+00:00,report
1387,Latinos in the 2010 Elections: Texas,"There are 3.8 million eligible Hispanic voters in Texas, 25% of all eligible voters in the state.",2010-10-15T00:00:00+00:00,report
1388,Latinos in the 2010 Elections: Virginia,"There are 183,000 eligible Hispanic voters in Virginia, 3% of all eligible voters in the state.",2010-10-15T00:00:00+00:00,report
1389,Latinos in the 2010 Elections: Washington,"There are 217,000 eligible Hispanic voters in Washington, 5% of all eligible voters in the state.",2010-10-15T00:00:00+00:00,report
1390,Latinos in the 2010 Elections: Wisconsin,"There are 106,000 eligible Hispanic voters in Wisconsin, 3% of all eligible voters in the state.",2010-10-15T00:00:00+00:00,report
1391,U.S.-Born Children of Unauthorized Immigrants,"Unauthorized immigrants comprise about 4% of the U.S. adult population, but their children comprise 8% of newborns.",2010-08-12T00:00:00+00:00,short reads
1392,Midterm Snapshot: Enthusiasm for Obama Reelection Bid Greater Than for Reagan in 1982,"Overview Two years ahead of the next presidential election, the public is divided over whether Barack Obama should run for a second term as president. About half (47%) say they would like to see Obama run again in 2012, while 42% say they would not. This is better than the outlook for Ronald Reagan in […]",2010-10-25T00:00:00+00:00,report
1393,Midterm Snapshot: Enthusiasm For Obama Reelection Bid Greater Than For Reagan In 1982,"Two years ahead of the next presidential election, the public is divided (47% yes, 42% no ) over whether Barack Obama should run for a second term. However, this is better than the outlook for Ronald Reagan in August 1982",2010-10-25T00:00:00+00:00,report
1394,Growth of Mexican-American Population,Births have overtaken immigration as the main driver of the dynamic growth in the Mexican-American population.,2010-08-05T00:00:00+00:00,short reads
1395,Support For Same-Sex Marriage Edges Upward,"Overview Polls this year have found that more Americans favor allowing gays and lesbians to marry legally than did so just last year. In two polls conducted over the past few months, based on interviews with more than 6,000 adults, 42% favor same-sex marriage while 48% are opposed. In polls conducted in 2009, 37% favored […]",2010-10-06T00:00:00+00:00,report
1396,Table: Muslim Population Growth by Country,".footnotes p{ color: #58585B;font-size: 1.2em !important; } td{ padding: 8px 5px !important; } Tables: Muslim Population by Country | Muslim Population Growth by Country Country Estimated 1990 Muslim Population Percentage Increase in Muslim Population from 1990-2010 Estimated 2010 Muslim Population Projected Percentage Increase in Muslim Population from 2010-2030* Projected 2030 Muslim Population* Afghanistan 12,551,000 131.4% […]",2011-01-27T00:00:00+00:00,report
1397,Gay Marriage Gains More Acceptance,"For the first time in 15 years of Pew Research Center polling, fewer than half oppose same-sex marriage, though, support (42%) remains below opposition (48%). The shift in favor of gay marriage has been broad-based, occurring across many demographic, political and religious groups.",2010-10-06T00:00:00+00:00,report
1398,Mixed Views of GOP Proposals on Entitlements,"While a majority of Americans favors allowing changes to Social Security, there is very little support for replacing Medicare with a voucher system. Also, the public continues to see no clear leader atop the GOP.",2010-09-14T00:00:00+00:00,report
1399,Mixed Views of GOP Proposals on Entitlements,"Overview The public has sharply different reactions to major changes in Social Security and Medicare programs being proposed by some leading Republicans. While a majority favors a proposal to allow some private investments in Social Security, there is considerably less support for the idea of ending Medicare and replacing it with a system of vouchers […]",2010-09-13T00:00:00+00:00,report
1400,Table: Muslim Population Growth by Country,".footnotes p{ color: #58585B;font-size: 1.2em !important; } td{ padding: 8px 5px !important; } Tables: Muslim Population by Country | Muslim Population Growth by Country Country Estimated 1990 Muslim Population Percentage Increase in Muslim Population from 1990-2010 Estimated 2010 Muslim Population Projected Percentage Increase in Muslim Population from 2010-2030* Projected 2030 Muslim Population* Afghanistan 12,551,000 131.4% […]",2011-01-27T00:00:00+00:00,report
1401,WikiLeaks Puts Afghanistan Back on Media Agenda,"The leak of some 90,000 classified war reports triggered a renewed debate over war strategy in Afghanistan. With court action in Arizona, the immigration debate dominated cable news.",2010-08-03T00:00:00+00:00,report
1402,Afghanistan Tops the News,"Coverage of the conflict in Afghanistan got a big boost last week after the WikiLeaks organization unearthed classified reports casting doubts on the prospects for U.S. success there. But in a balanced news week, a key ruling in the Arizona immigration battle, the departure of an embattled BP CEO and a sluggish economy shared the media’s attention.",2010-08-02T00:00:00+00:00,report
1403,When Technology Makes Headlines,"The mainstream media offer the American public a divided view of how information technology influences society, according to a new PEJ study. Messages such as technology making life easier often vie with concerns about privacy and safety. How do the media portray technology? Which companies get the most coverage? Do social media and blogs treat the subject differently than traditional media? A year-long study of technology coverage answers these and other questions.",2010-09-27T00:00:00+00:00,report
1404,Table: Muslim Population by Country,"Tables: Muslim Population by Country | Muslim Population Growth by Country Country Estimated 1990 Muslim Population Percentage of 1990 Population that is Muslim Estimated 2010 Muslim Population Percentage of 2010 Population that is Muslim Projected 2030 Muslim Population* Projected Percentage of 2030 Population that is Muslim* Afghanistan 12,551,000 99.8% 29,047,000 99.8% 50,527,000 99.8% Albania 2,302,000 […]",2011-01-27T00:00:00+00:00,database
1405,Mexicans Continue Support for Drug War,"Mexicans overwhelmingly continue to endorse President Calderón’s campaign against the drug cartels and most — though somewhat fewer than a year ago — see progress in the drug war. But opposition to direct U.S. involvement has increased, and Mexican views of the U.S. generally turned negative following passage of the recent Arizona immigration law.",2010-08-12T00:00:00+00:00,report
1406,Support For Same-Sex Marriage Edges Upward,In This Report: Persistent Generational Divide Partisan and Ideological Differences Race and Gender Gaps White Catholics More Supportive Same-Sex Marriage and the 2010 Vote Gays in the Military About the Surveys Detailed tables (120 KB PDF) Full report (260 KB PDF) In this research package Same-Sex Marriage in the U.S. An overview of the gay […],2010-10-06T00:00:00+00:00,report
1407,A Tough Economy and a Plugged Leak Top the News,"Two familiar stories—an economy slow to recover and an oil leak slow to be stopped—generated the most press attention last week. But there was plenty of politics as well including two hot button issues—same-sex marriage and illegal immigration—and the mid-term elections. And after one week of big headlines, Afghanistan coverage plunged.",2010-08-09T00:00:00+00:00,report
1408,Former Census Director: Rewrite Race Question,Many Americans were puzzled or irritated by the questions about race and Hispanic ethnicity on the 2010 Census form.,2010-07-13T00:00:00+00:00,report
1409,Mexicans Continue Support for Drug War,"As drug violence continues to plague their country, Mexicans largely endorse President Felipe Calderón’s campaign against drug cartels. Most also believe the Mexican military is making progress in the drug war, although they are less likely to hold this view now than was the case one year ago.",2010-08-12T00:00:00+00:00,report
1410,Muslim Networks and Movements in Western Europe,"Introduction Over the past two decades, the number of Muslims living in Western Europe has steadily grown, rising from less than 10 million in 1990 to approximately 17 million in 2010.[1. Figures are from a forthcoming Pew Forum report that estimates growth rates among Muslim populations worldwide and provides population projections for 2020 and 2030. […]",2010-09-15T00:00:00+00:00,report
1411,Skirmishing in Key Races Drives Election Coverage,"This fall’s big story—the 2010  midterm elections—showed little sign of abating last week as some heated campaigns sparked much of the media’s interest. Faulty foreclosure procedures helped make the troubled economy the No. 2 story, while the passing of a milestone in Afghanistan drove coverage of the third-biggest story.",2010-10-12T00:00:00+00:00,report
1412,How a Different America Responded to the Great Depression,"The American public’s sour mood is in interesting contrast with many of the public’s views during the Great Depression of the 1930s, not only on economic, political and social issues, but also on the role of government in addressing them.",2010-12-14T00:00:00+00:00,report
1413,Mixed Reactions to Leak of Afghanistan Documents,"Summary of Findings The disclosure of more than 75,000 classified documents about the war in Afghanistan by the website WikiLeaks garnered significant media coverage last week, and those familiar with the story were split over the effect of the leak: about equal percentages say the release harms the public interest as say it serves the […]",2010-08-03T00:00:00+00:00,report
1414,"It’s the 2010 Campaign, Again.","As the campaign for control of Congress entered its final month, election news once again dominated the headlines—overshadowing almost everything else. Some housing news drove coverage of the economy while President Obama’s suggestion to lengthen the school year helped make education one of the week’s top stories.",2010-10-04T00:00:00+00:00,report
1415,Public’s Wish List for Congress – Jobs and Deficit Reduction,"Overview The public overwhelmingly views the job situation as a major priority for Congress during the coming months. Fully 80% say it is very important for Congress to pass legislation to address the job situation, which is virtually unchanged from May (81%). Somewhat fewer (70%) say it is very important for Congress to reduce the […]",2010-07-12T00:00:00+00:00,report
1416,The 2010 Midterms Rise; the Gulf Spill Sinks,"With the fall balloting closer on the horizon, the crucial midterm elections topped the headlines last week—with a troublesome economy close behind. The death of a well-known politician and debates over immigration policy also finished among the top five stories as did the oil spill saga—though it is quickly losing steam.",2010-08-16T00:00:00+00:00,report
1417,Obama’s Ratings Little Affected by Recent Turmoil,"Overview Since the beginning of this year, President Obama has signed a controversial health care measure, coped with a stubbornly high jobless rate, and struggled to manage the largest environmental disaster in the nation’s history. In that period, Obama’s overall job approval rating has moved from 49% to 48%. On major issues, ranging from the […]",2010-06-24T00:00:00+00:00,report
1418,Justice Dept. Will Fight Arizona on Immigration,,2010-06-18T00:00:00+00:00,report
1419,Teen Singer Gets Singed in Social Media,"An Internet prank aimed at 16-year-old pop star Justin Bieber provided amusement for many in the social media world last week. Social media also debated several legal issues ranging from immigration to the digital economy. And on YouTube, CNN host Anderson Cooper’s commentary on the lack of media access to the oil spill cleanup drew the most hits.",2010-07-15T00:00:00+00:00,report
1420,Public Focuses More on Economy than Election,"Summary of Findings The 2010 congressional elections dominated news coverage last week, but not the public’s attention. Americans continued to focus most closely on news about the nation’s struggling economy and about four-in-ten (39%) say news reports portray the economy “about the way it really is.” Smaller, roughly equal percentages say the media make the […]",2010-10-07T00:00:00+00:00,report
1421,Many Say Coverage of the Poor and Minorities Is Too Negative,"Pluralities say that coverage of poor people and Muslims is too negative, while somewhat smaller percentages say the same about coverage of blacks and Hispanics. About a third say that coverage of wealthy people is too positive — the highest percentage for any group tested.",2010-08-19T00:00:00+00:00,report
1422,Midterm Election Coverage Kicks into High Gear,"With balloting little more than a month away, the 2010 congressional elections again topped the media agenda as a good chunk of that narrative focused on the power and potential of the tea party. And one factor that will clearly influence the outcome on election night, the state of the U.S. economy, was the No. 2 topic.",2010-09-27T00:00:00+00:00,report
1423,"Republicans Faring Better with Men, Whites, Independents and Seniors","Overview The Republican Party’s prospects for the midterm elections look much better than they did four years ago at this time, while the Democrats’ look much worse. Voter preferences for the upcoming congressional elections remain closely divided (45% support the Democratic candidate or lean Democratic, while 44% favor the Republican or lean Republican). In polling […]",2010-08-10T00:00:00+00:00,report
1424,Well Known: Twitter; Little Known: John Roberts,"Overview An overwhelming proportion of Americans are familiar with Twitter, the online information-sharing network. Perhaps more surprisingly, a large majority also knows that children who are born to illegal immigrants in the United States are automatically U.S. citizens. Yet the public continues to struggle in identifying political figures, foreign leaders and even knowing facts about […]",2010-07-15T00:00:00+00:00,report
1425,Many Say Coverage of the Poor and Minorities Is Too Negative,"Summary of Findings In evaluating news coverage of different groups, pluralities of Americans say that coverage of poor people and Muslims is too negative, while somewhat smaller percentages say the same about coverage of blacks and Hispanics. Among eight groups tested, whites and middle-class people are the only groups that majorities say are treated fairly […]",2010-08-19T00:00:00+00:00,report
1426,The Arizona Effect,The percentage of Mexicans holding favorable views of the U.S. fell from 62% to 44% after Arizona’s immigration law passed.,2010-06-18T00:00:00+00:00,short reads
1427,Bloggers React to a Religion Quiz,"A survey concluding that non-believers know more about religion than believers sparked an intense and heartfelt conversation among bloggers last week. On Twitter, a disturbing discovery in a loaf of bread was the top story. And on YouTube, a Swiss politician with the giggles became an international video star.",2010-10-07T00:00:00+00:00,report
1428,"Modest Decline in Oil Leak Interest, Sharp Decline in Coverage","Summary of Findings As the public continues to closely track news about the environmental disaster unfolding in the Gulf of Mexico, few Americans say news organization are giving the oil leak too much coverage. The Gulf oil leak once again topped both public interest and media coverage last week, though the percent following the story […]",2010-07-14T00:00:00+00:00,report
1429,"Section 2: The Nation, The Economy and Social Trends",Most Americans are optimistic about their own lives and the future of the United States over the next 40 years. But there are clouds on the horizon. Most expect the average family’s standard of living will not improve by 2050 and there is a widespread belief that economic inequality will increase. More than six-in-ten (64%) […],2010-06-22T00:00:00+00:00,report
1430,How Many Undocumented Immigrants?,The Census Bureau does not ask U.S. residents for their immigration status when they are counted in the 2010 Census or other population surveys.,2010-05-11T00:00:00+00:00,report
1431,Public Sees Economic News Turning More Negative,"Summary of Findings Public perceptions of economic news have turned much more negative. Currently, 42% say they are hearing mostly bad news about the economy, the highest percentage in a year. Last month, 30% of the public said they were hearing mostly bad news about the economy. The proportion saying they are hearing a mix […]",2010-07-08T00:00:00+00:00,report
1432,New Census Population and Housing Estimates,"The Census Bureau is clearing its data cupboard to make room for results of the 2010 Census. Today, the bureau released 2009 state and county housing unit estimates, the last ones before decennial results are compiled. Last week, the bureau released population estimates by age, sex, race and Hispanic origin for the nation, states and […]",2010-06-16T00:00:00+00:00,report
1433,One-in-Seven New U.S. Marriages is Interracial or Interethnic,"This dramatic increase has been driven in part by the weakening of longstanding cultural taboos against intermarriage and in part by a large, multi-decade wave of immigrants from Latin America and Asia.",2010-06-04T00:00:00+00:00,report
1434,The Power of Mobile,"What will happen when the untapped knowledge of every patient, of every caregiver, of everyone who has something of value to share actually has the opportunity to share it?",2010-09-13T00:00:00+00:00,report
1435,Event Transcript: Muslim Networks and Movements in Western Europe,"George Mason University Professor Peter Mandaville, Dilwar Hussain of the Islamic Foundation, and Maha Azzam of the Middle East and North Africa Programme at Chatham House discussed key findings of a Pew Forum study containing profiles of some of the oldest, largest and most influential Muslim groups – from the Muslim Brotherhood to mystical Sufi orders and networks of religious scholars.",2010-09-15T00:00:00+00:00,transcript
1436,Broad Approval For New Arizona Immigration Law,Overview The public broadly supports a new Arizona law aimed at dealing with illegal immigration and the law’s provisions giving police increased powers to stop and detain people who are suspected of being in the country illegally. Fully 73% say they approve of requiring people to produce documents verifying their legal status if police ask […],2010-05-12T00:00:00+00:00,report
1437,American Grace: How Religion Divides and Unites Us,The Pew Forum held a press luncheon with political science professors David Campbell and John Green on the topic of how religion both divides and unites Americans.,2010-12-16T00:00:00+00:00,transcript
1438,Hispanics and Arizona’s New Immigration Law,"More Americans believe that Hispanics are the targets of a lot of discrimination in American society than say the same about any other major racial or ethnic group, according to a survey taken prior to the enactment of an immigration enforcement law by the state of Arizona.",2010-04-29T00:00:00+00:00,fact sheet
1439,Hispanics: Targets of Discrimination,"Nearly a quarter of Americans say Hispanics face a lot of discrimination in society today, making them the racial/ethnic group the public sees as most often subjected to discrimination.",2010-05-11T00:00:00+00:00,short reads
1440,Gulf Coast Oil Spill Grabs Public Attention,"Summary of Findings As a massive oil spill in the Gulf of Mexico spread toward the Louisiana coastline last week, the public focused on the unfolding story of a potential environmental disaster. The spill dominated the public’s consciousness. It was the story people were most likely to say they talked about with friends. The percentage […]",2010-05-05T00:00:00+00:00,report
1441,Willingness to Compromise a Plus in Midterms,Overview Many Americans say they will look less favorably this fall at congressional candidates who supported the federal bailout of major banks and financial institutions in response to the 2008 financial crisis. About half (49%) say they are less likely to vote for a candidate who supported the major government loans to banks; 14% say […],2010-05-24T00:00:00+00:00,report
